����_A
t	y	x
14.0	156.50655021834064	272.02328966521105
14.1	141.60116448326056	279.47598253275106
14.2	111.79039301310047	290.6550218340611
14.3	87.04058966830735	300.92970012643997
14.4	51.94620620941521	306.50284246818916
14.5	1.8631732168850021	313.0131004366812
14.6	-31.673944687045093	313.0131004366812
14.7	-70.80058224163025	313.0131004366812
14.8	-95.02183406113534	309.2867540029112
14.9	-137.8748180494905	303.6972343522562
15.0	-152.78020378457052	301.8340611353712
15.1	-169.54876273653565	299.9708879184862
15.2	-182.59097525473067	292.5181950509461
15.3	-199.3595342066958	285.06550218340607
15.4	-212.4017467248908	279.47598253275106
15.5	-210.5385735080058	283.20232896652107
15.6	-214.26491994177582	286.92867540029107
15.7	-203.0858806404658	285.06550218340607
15.8	-197.4963609898108	292.5181950509461
15.9	-190.04366812227067	298.1077147016011
16.0	-167.68558951965065	305.5604075691412
16.1	-145.3275109170305	311.1499272197962
16.2	-130.4221251819505	311.1499272197962
16.3	-95.02183406113534	311.1499272197962
16.4	-59.62154294032018	314.8762736535662
16.5	-26.084425036390087	316.7394468704512
16.6	-11.179039301310013	313.0131004366812
16.7	29.810771470160148	313.0131004366812
16.8	61.48471615720524	307.4235807860262
16.9	89.43231441048039	299.9708879184862
17.0	113.65356622998547	294.3813682678311
17.1	139.73799126637556	281.33915574963606
17.2	160.23289665211064	279.47598253275106
17.3	180.72780203784572	277.61280931586606
17.4	191.9068413391558	264.57059679767104
17.5	203.0858806404658	257.1179039301309
17.6	204.9490538573508	257.1179039301309
17.7	199.3595342066958	266.43377001455605
17.8	175.1382823871907	264.57059679767104
17.9	165.82241630276567	273.88646288209605
18.0	147.19068413391557	285.06550218340607
18.1	111.79039301310047	288.7918486171761
18.2	65.2110625909753	299.9708879184862
18.3	22.35807860262014	305.5604075691412
18.4	-3.7263464337700043	313.0131004366812
18.5	-44.716157205240165	324.1921397379912
18.6	-70.8005822416302	326.05531295487623
18.7	-104.33770014556035	320.4657933042212
18.8	-134.1484716157205	313.0131004366812
18.9	-147.1906841339155	305.5604075691412
19.0	-173.27510917030565	296.2445414847161
19.1	-188.18049490538567	292.5181950509461
19.2	-197.4963609898108	285.06550218340607
19.3	-214.26491994177582	288.7918486171761
19.4	-214.26491994177582	285.06550218340607
19.5	-208.6754002911208	285.06550218340607
19.6	-203.0858806404657	288.7918486171761
19.7	-188.18049490538567	294.3813682678311
